Scenario,Algorithm,Grid,Uncovered%,Win,Flagged%
"(16, 16, 10)",Abel 8x8 10k 1000,16,96.09375,1,-
"(16, 16, 10)",Kane + MCTS,16,96.09375,1,3.90625
"(16, 16, 10)",Abel 16x16 2000 10k,17,93.75,0,-
"(16, 16, 10)",Abel 16x16 750 100k,17,93.75,0,-
"(16, 16, 10)",Abel 4x4 100k 100,17,93.359375,0,-
"(16, 16, 10)",Abel 8x8 10k 1000,17,95.703125,0,-
"(16, 16, 10)",Kane + MCTS,17,96.09375,1,3.90625
"(16, 16, 10)",Abel 16x16 2000 10k,18,95.3125,0,-
"(16, 16, 10)",Abel 16x16 750 100k,18,92.578125,0,-
"(16, 16, 10)",Abel 4x4 100k 100,18,89.453125,0,-
"(16, 16, 10)",Abel 8x8 10k 1000,18,93.75,0,-
"(16, 16, 10)",Kane + MCTS,18,96.09375,1,3.90625
"(16, 16, 10)",Abel 16x16 2000 10k,19,0.390625,0,-
"(16, 16, 10)",Abel 16x16 750 100k,19,96.09375,1,-
"(16, 16, 10)",Abel 4x4 100k 100,19,95.703125,0,-
"(16, 16, 10)",Abel 8x8 10k 1000,19,90.625,0,-
"(16, 16, 10)",Kane + MCTS,19,96.09375,1,3.90625
"(16, 16, 10)",Abel 16x16 2000 10k,20,93.75,0,-
"(16, 16, 10)",Abel 16x16 750 100k,20,0.78125,0,-
"(16, 16, 10)",Abel 4x4 100k 100,20,94.921875,0,-
"(16, 16, 10)",Abel 8x8 10k 1000,20,94.53125,0,-
"(16, 16, 10)",Kane + MCTS,20,96.09375,1,3.90625
"(16, 16, 100)",Abel 16x16 2000 10k,1,1.5625,0,-
"(16, 16, 100)",Abel 16x16 750 100k,1,0.78125,0,-
"(16, 16, 100)",Abel 4x4 100k 100,1,5.078125,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,1,0.390625,0,-
"(16, 16, 100)",Kane + MCTS,1,0.390625,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,2,2.34375,0,-
"(16, 16, 100)",Abel 16x16 750 100k,2,0.78125,0,-
"(16, 16, 100)",Abel 4x4 100k 100,2,1.171875,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,2,0.390625,0,-
"(16, 16, 100)",Kane + MCTS,2,0.390625,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,3,1.5625,0,-
"(16, 16, 100)",Abel 16x16 750 100k,3,1.171875,0,-
"(16, 16, 100)",Abel 4x4 100k 100,3,5.46875,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,3,0.78125,0,-
"(16, 16, 100)",Kane + MCTS,3,1.5625,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,4,1.171875,0,-
"(16, 16, 100)",Abel 16x16 750 100k,4,2.34375,0,-
"(16, 16, 100)",Abel 4x4 100k 100,4,0.78125,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,4,0.390625,0,-
"(16, 16, 100)",Kane + MCTS,4,5.859375,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,5,0.78125,0,-
"(16, 16, 100)",Abel 16x16 750 100k,5,0.78125,0,-
"(16, 16, 100)",Abel 4x4 100k 100,5,1.953125,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,5,2.34375,0,-
"(16, 16, 100)",Kane + MCTS,5,0.390625,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,6,0.390625,0,-
"(16, 16, 100)",Abel 16x16 750 100k,6,1.171875,0,-
"(16, 16, 100)",Abel 4x4 100k 100,6,7.421875,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,6,1.171875,0,-
"(16, 16, 100)",Kane + MCTS,6,0.390625,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,7,0.78125,0,-
"(16, 16, 100)",Abel 16x16 750 100k,7,1.171875,0,-
"(16, 16, 100)",Abel 4x4 100k 100,7,0.390625,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,7,1.171875,0,-
"(16, 16, 100)",Kane + MCTS,7,1.5625,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,8,0.78125,0,-
"(16, 16, 100)",Abel 16x16 750 100k,8,0.390625,0,-
"(16, 16, 100)",Abel 4x4 100k 100,8,0.78125,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,8,2.34375,0,-
"(16, 16, 100)",Kane + MCTS,8,0.78125,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,9,0.390625,0,-
"(16, 16, 100)",Abel 16x16 750 100k,9,0.78125,0,-
"(16, 16, 100)",Abel 4x4 100k 100,9,1.171875,0,-
"(16, 16, 100)",Abel 8x8 10k 1000,9,1.5625,0,-
"(16, 16, 100)",Kane + MCTS,9,1.953125,0,0.0
"(16, 16, 100)",Abel 16x16 2000 10k,10,0.78125,0,-
"(16, 16, 100)",Abel 16x16 750 100k,10,4.6875,0,-
