Scenario,Algorithm,Grid,Uncovered%,Win,Initial Uncovered%,DifferenceUncovered%
"(16, 16, 10)",Abel 16x16 2000 10k,14,92.1875,0,91.40625,0.78125
"(16, 16, 10)",Abel 16x16 750 100k,14,91.796875,0,91.40625,0.390625
"(16, 16, 10)",Abel 4x4 100k 100,14,96.09375,1,91.40625,4.6875
"(16, 16, 10)",Abel 8x8 10k 1k,14,96.09375,1,91.40625,4.6875
"(16, 16, 10)",Kane + MCTS,14,96.09375,1,91.40625,4.6875
"(16, 16, 10)",Abel 16x16 2000 10k,15,94.921875,0,94.53125,0.390625
"(16, 16, 10)",Abel 16x16 750 100k,15,94.921875,0,94.53125,0.390625
"(16, 16, 10)",Abel 4x4 100k 100,15,96.09375,1,94.53125,1.5625
"(16, 16, 10)",Abel 8x8 10k 1k,15,96.09375,1,94.53125,1.5625
"(16, 16, 10)",Kane + MCTS,15,96.09375,1,94.53125,1.5625
"(16, 16, 10)",Abel 16x16 2000 10k,16,90.625,0,89.84375,0.78125
"(16, 16, 10)",Abel 16x16 750 100k,16,91.40625,0,89.84375,1.5625
"(16, 16, 10)",Abel 4x4 100k 100,16,96.484375,0,89.84375,6.640625
"(16, 16, 10)",Abel 8x8 10k 1k,16,96.484375,0,89.84375,6.640625
"(16, 16, 10)",Kane + MCTS,16,96.09375,1,89.84375,6.25
"(16, 16, 10)",Abel 16x16 2000 10k,17,95.703125,0,94.921875,0.78125
"(16, 16, 10)",Abel 16x16 750 100k,17,95.3125,0,94.921875,0.390625
"(16, 16, 10)",Abel 4x4 100k 100,17,96.09375,1,94.921875,1.171875
"(16, 16, 10)",Abel 8x8 10k 1k,17,96.09375,1,94.921875,1.171875
"(16, 16, 10)",Kane + MCTS,17,96.09375,1,94.921875,1.171875
"(16, 16, 10)",Abel 16x16 2000 10k,18,93.75,0,93.359375,0.390625
"(16, 16, 10)",Abel 16x16 750 100k,18,93.75,0,93.359375,0.390625
"(16, 16, 10)",Abel 4x4 100k 100,18,96.09375,1,93.359375,2.734375
"(16, 16, 10)",Abel 8x8 10k 1k,18,96.09375,1,93.359375,2.734375
"(16, 16, 10)",Kane + MCTS,18,96.09375,1,93.359375,2.734375
"(16, 16, 10)",Abel 16x16 2000 10k,19,94.921875,0,94.53125,0.390625
"(16, 16, 10)",Abel 16x16 750 100k,19,95.703125,0,94.53125,1.171875
"(16, 16, 10)",Abel 4x4 100k 100,19,96.09375,1,94.53125,1.5625
"(16, 16, 10)",Abel 8x8 10k 1k,19,96.09375,1,94.53125,1.5625
"(16, 16, 10)",Kane + MCTS,19,96.09375,1,94.53125,1.5625
"(16, 16, 10)",Abel 16x16 2000 10k,20,92.96875,0,91.40625,1.5625
"(16, 16, 10)",Abel 16x16 750 100k,20,91.796875,0,91.40625,0.390625
"(16, 16, 10)",Abel 4x4 100k 100,20,96.09375,1,91.40625,4.6875
"(16, 16, 10)",Abel 8x8 10k 1k,20,96.09375,1,91.40625,4.6875
"(16, 16, 10)",Kane + MCTS,20,96.09375,1,91.40625,4.6875
"(16, 16, 100)",Abel 16x16 2000 10k,1,1.953125,0,0.390625,1.5625
"(16, 16, 100)",Abel 16x16 750 100k,1,1.171875,0,0.390625,0.78125
"(16, 16, 100)",Abel 4x4 100k 100,1,3.125,0,0.390625,2.734375
"(16, 16, 100)",Abel 8x8 10k 1k,1,1.5625,0,0.390625,1.171875
"(16, 16, 100)",Kane + MCTS,1,0.78125,0,0.390625,0.390625
"(16, 16, 100)",Abel 16x16 2000 10k,2,1.171875,0,0.390625,0.78125
"(16, 16, 100)",Abel 16x16 750 100k,2,6.25,0,0.390625,5.859375
"(16, 16, 100)",Abel 4x4 100k 100,2,8.59375,0,0.390625,8.203125
"(16, 16, 100)",Abel 8x8 10k 1k,2,2.734375,0,0.390625,2.34375
"(16, 16, 100)",Kane + MCTS,2,1.953125,0,0.390625,1.5625
"(16, 16, 100)",Abel 16x16 2000 10k,3,1.171875,0,0.390625,0.78125
"(16, 16, 100)",Abel 16x16 750 100k,3,5.859375,0,0.390625,5.46875
"(16, 16, 100)",Abel 4x4 100k 100,3,5.46875,0,0.390625,5.078125
"(16, 16, 100)",Abel 8x8 10k 1k,3,4.6875,0,0.390625,4.296875
"(16, 16, 100)",Kane + MCTS,3,2.734375,0,0.390625,2.34375
"(16, 16, 100)",Abel 16x16 2000 10k,4,4.296875,0,3.515625,0.78125
"(16, 16, 100)",Abel 16x16 750 100k,4,3.90625,0,3.515625,0.390625
"(16, 16, 100)",Abel 4x4 100k 100,4,6.25,0,3.515625,2.734375
"(16, 16, 100)",Abel 8x8 10k 1k,4,4.6875,0,3.515625,1.171875
"(16, 16, 100)",Kane + MCTS,4,3.90625,0,3.515625,0.390625
"(16, 16, 100)",Abel 16x16 2000 10k,5,4.6875,0,3.515625,1.171875
"(16, 16, 100)",Abel 16x16 750 100k,5,3.90625,0,3.515625,0.390625
"(16, 16, 100)",Abel 4x4 100k 100,5,11.71875,0,3.515625,8.203125
"(16, 16, 100)",Abel 8x8 10k 1k,5,11.328125,0,3.515625,7.8125
"(16, 16, 100)",Kane + MCTS,5,4.6875,0,3.515625,1.171875
"(16, 16, 100)",Abel 16x16 2000 10k,6,2.34375,0,0.390625,1.953125
"(16, 16, 100)",Abel 16x16 750 100k,6,0.78125,0,0.390625,0.390625
"(16, 16, 100)",Abel 4x4 100k 100,6,5.078125,0,0.390625,4.6875
"(16, 16, 100)",Abel 8x8 10k 1k,6,4.296875,0,0.390625,3.90625
"(16, 16, 100)",Kane + MCTS,6,1.5625,0,0.390625,1.171875
"(16, 16, 100)",Abel 16x16 2000 10k,7,1.5625,0,0.390625,1.171875
"(16, 16, 100)",Abel 16x16 750 100k,7,1.953125,0,0.390625,1.5625
"(16, 16, 100)",Abel 4x4 100k 100,7,5.859375,0,0.390625,5.46875
"(16, 16, 100)",Abel 8x8 10k 1k,7,5.078125,0,0.390625,4.6875
"(16, 16, 100)",Kane + MCTS,7,3.515625,0,0.390625,3.125
"(16, 16, 100)",Abel 16x16 2000 10k,8,2.34375,0,0.390625,1.953125
"(16, 16, 100)",Abel 16x16 750 100k,8,1.5625,0,0.390625,1.171875
"(16, 16, 100)",Abel 4x4 100k 100,8,5.46875,0,0.390625,5.078125
"(16, 16, 100)",Abel 8x8 10k 1k,8,1.953125,0,0.390625,1.5625
"(16, 16, 100)",Kane + MCTS,8,1.171875,0,0.390625,0.78125
"(16, 16, 100)",Abel 16x16 2000 10k,9,1.5625,0,0.390625,1.171875
"(16, 16, 100)",Abel 16x16 750 100k,9,4.6875,0,0.390625,4.296875
"(16, 16, 100)",Abel 4x4 100k 100,9,5.078125,0,0.390625,4.6875
"(16, 16, 100)",Abel 8x8 10k 1k,9,2.34375,0,0.390625,1.953125
"(16, 16, 100)",Kane + MCTS,9,1.5625,0,0.390625,1.171875
"(16, 16, 100)",Abel 16x16 2000 10k,10,3.125,0,0.390625,2.734375
"(16, 16, 100)",Abel 16x16 750 100k,10,0.78125,0,0.390625,0.390625
"(16, 16, 100)",Abel 4x4 100k 100,10,5.078125,0,0.390625,4.6875
"(16, 16, 100)",Abel 8x8 10k 1k,10,4.296875,0,0.390625,3.90625
"(16, 16, 100)",Kane + MCTS,10,2.734375,0,0.390625,2.34375
"(16, 16, 100)",Abel 16x16 2000 10k,11,0.78125,0,0.390625,0.390625
"(16, 16, 100)",Abel 16x16 750 100k,11,0.78125,0,0.390625,0.390625
"(16, 16, 100)",Abel 4x4 100k 100,11,7.03125,0,0.390625,6.640625
"(16, 16, 100)",Abel 8x8 10k 1k,11,4.296875,0,0.390625,3.90625
"(16, 16, 100)",Kane + MCTS,11,2.34375,0,0.390625,1.953125
